"node1","node2","pair","true_label","frequency","network","n"
"Age","BaselineSeverity","Age--BaselineSeverity",0,0.09,"A_baseline_only",20
"Age","ChildhoodTrauma","Age--ChildhoodTrauma",0,0.095,"A_baseline_only",20
"Age","Chronicity","Age--Chronicity",1,0.44,"A_baseline_only",20
"Age","ComorbidAnxiety","Age--ComorbidAnxiety",0,0.145,"A_baseline_only",20
"Age","FunctionalImpairment","Age--FunctionalImpairment",0,0.165,"A_baseline_only",20
"Age","HigherCognition","Age--HigherCognition",1,0.72,"A_baseline_only",20
"Age","IS","Age--IS",0,0.15,"A_baseline_only",20
"Age","MedicationLoad","Age--MedicationLoad",0,0.12,"A_baseline_only",20
"Age","PriorECT","Age--PriorECT",0,0.145,"A_baseline_only",20
"Age","PsychomotorSpeed","Age--PsychomotorSpeed",1,0.2,"A_baseline_only",20
"Age","RA","Age--RA",0,0.135,"A_baseline_only",20
"Age","Response","Age--Response",0,0.135,"A_baseline_only",20
"Age","SleepQuality","Age--SleepQuality",0,0.145,"A_baseline_only",20
"Age","SuicidalIdeation","Age--SuicidalIdeation",0,0.135,"A_baseline_only",20
"Age","TxResistance","Age--TxResistance",0,0.175,"A_baseline_only",20
"BaselineSeverity","ChildhoodTrauma","BaselineSeverity--ChildhoodTrauma",0,0.115,"A_baseline_only",20
"BaselineSeverity","Chronicity","BaselineSeverity--Chronicity",1,0.48,"A_baseline_only",20
"BaselineSeverity","ComorbidAnxiety","BaselineSeverity--ComorbidAnxiety",1,0.36,"A_baseline_only",20
"BaselineSeverity","FunctionalImpairment","BaselineSeverity--FunctionalImpairment",1,0.69,"A_baseline_only",20
"BaselineSeverity","HigherCognition","BaselineSeverity--HigherCognition",0,0.22,"A_baseline_only",20
"BaselineSeverity","IS","BaselineSeverity--IS",1,0.465,"A_baseline_only",20
"BaselineSeverity","MedicationLoad","BaselineSeverity--MedicationLoad",0,0.15,"A_baseline_only",20
"BaselineSeverity","PriorECT","BaselineSeverity--PriorECT",0,0.145,"A_baseline_only",20
