"threshold","tpr","fpr","precision","network","network_label","n","n_f"
0,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.01,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.02,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.03,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.04,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.05,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.06,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.07,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.08,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.09,1,0.988826815642458,0.149038461538462,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.1,1,0.983240223463687,0.14975845410628,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.11,1,0.955307262569832,0.153465346534653,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.12,1,0.905027932960894,0.160621761658031,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.13,1,0.843575418994413,0.17032967032967,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.14,1,0.759776536312849,0.18562874251497,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.15,1,0.681564245810056,0.202614379084967,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.16,1,0.558659217877095,0.236641221374046,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.17,1,0.430167597765363,0.287037037037037,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.18,0.967741935483871,0.301675977653631,0.357142857142857,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.19,0.967741935483871,0.189944134078212,0.46875,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.2,0.967741935483871,0.11731843575419,0.588235294117647,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.21,0.967741935483871,0.0670391061452514,0.714285714285714,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.22,0.967741935483871,0.0446927374301676,0.789473684210526,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.23,0.967741935483871,0.0223463687150838,0.882352941176471,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.24,0.967741935483871,0.00558659217877095,0.967741935483871,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.25,0.967741935483871,0.00558659217877095,0.967741935483871,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.26,0.967741935483871,0.00558659217877095,0.967741935483871,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.27,0.935483870967742,0.00558659217877095,0.966666666666667,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.28,0.903225806451613,0.00558659217877095,0.96551724137931,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.29,0.870967741935484,0.00558659217877095,0.964285714285714,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.3,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.31,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.32,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.33,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.34,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.35,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.36,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.37,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.38,0.806451612903226,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.39,0.774193548387097,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.4,0.774193548387097,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.41,0.709677419354839,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.42,0.67741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.43,0.67741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.44,0.645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.45,0.612903225806452,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.46,0.580645161290323,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.47,0.516129032258065,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.48,0.516129032258065,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.49,0.516129032258065,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.5,0.483870967741935,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.51,0.451612903225806,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.52,0.451612903225806,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.53,0.419354838709677,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.54,0.419354838709677,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.55,0.354838709677419,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.56,0.32258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.57,0.225806451612903,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.58,0.225806451612903,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.59,0.161290322580645,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.6,0.161290322580645,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.61,0.0967741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.62,0.0645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.63,0.0645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.64,0.0645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.65,0.0645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.66,0.0645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.67,0.032258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.68,0.032258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.69,0.032258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.7,0.032258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.71,0.032258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.72,0.032258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.73,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.74,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.75,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.76,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.77,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.78,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.79,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.8,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.81,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.82,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.83,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.84,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.85,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.86,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.87,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.88,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.89,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.9,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.91,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.92,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.93,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.94,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.95,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.96,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.97,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.98,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0.99,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
1,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",20,"20"
0,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.01,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.02,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.03,1,0.977653631284916,0.150485436893204,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.04,1,0.921787709497207,0.158163265306122,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.05,1,0.770949720670391,0.183431952662722,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.06,1,0.631284916201117,0.215277777777778,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.07,1,0.41340782122905,0.295238095238095,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.08,1,0.223463687150838,0.436619718309859,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.09,1,0.145251396648045,0.543859649122807,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.1,1,0.0782122905027933,0.688888888888889,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.11,1,0.0670391061452514,0.720930232558139,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.12,1,0.0502793296089385,0.775,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.13,1,0.0391061452513966,0.815789473684211,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.14,1,0.0167597765363128,0.911764705882353,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.15,1,0.0167597765363128,0.911764705882353,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.16,1,0.0167597765363128,0.911764705882353,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.17,1,0.0167597765363128,0.911764705882353,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.18,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.19,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.2,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.21,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.22,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.23,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.24,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.25,0.967741935483871,0.00558659217877095,0.967741935483871,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.26,0.935483870967742,0.00558659217877095,0.966666666666667,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.27,0.935483870967742,0.00558659217877095,0.966666666666667,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
