"tp","fp","fn","tn","precision","sensitivity","specificity","f1","shd","response_precision","response_recall","response_true_edges","network","n","rep"
13,17,11,79,0.433333333333333,0.541666666666667,0.822916666666667,0.481481481481482,37,0.5,0.4,5,"A_baseline_only",20,1
17,22,14,118,0.435897435897436,0.548387096774194,0.842857142857143,0.485714285714286,46,1,0.857142857142857,7,"B_with_time",20,1
14,12,10,84,0.538461538461538,0.583333333333333,0.875,0.56,34,1,0.6,5,"A_baseline_only",30,1
12,14,19,126,0.461538461538462,0.387096774193548,0.9,0.421052631578947,40,0.625,0.714285714285714,7,"B_with_time",30,1
11,15,13,81,0.423076923076923,0.458333333333333,0.84375,0.44,34,0.666666666666667,0.4,5,"A_baseline_only",40,1
18,13,13,127,0.580645161290323,0.580645161290323,0.907142857142857,0.580645161290323,36,0.6,0.428571428571429,7,"B_with_time",40,1
17,8,7,88,0.68,0.708333333333333,0.916666666666667,0.693877551020408,27,0.75,0.6,5,"A_baseline_only",50,1
19,18,12,122,0.513513513513513,0.612903225806452,0.871428571428571,0.558823529411765,39,1,0.714285714285714,7,"B_with_time",50,1
14,13,10,83,0.518518518518518,0.583333333333333,0.864583333333333,0.549019607843137,33,0.75,0.6,5,"A_baseline_only",60,1
21,11,10,129,0.65625,0.67741935483871,0.921428571428571,0.666666666666667,33,1,0.857142857142857,7,"B_with_time",60,1
19,6,5,90,0.76,0.791666666666667,0.9375,0.775510204081633,24,0.8,0.8,5,"A_baseline_only",75,1
24,11,7,129,0.685714285714286,0.774193548387097,0.921428571428571,0.727272727272727,35,1,0.857142857142857,7,"B_with_time",75,1
21,8,3,88,0.724137931034483,0.875,0.916666666666667,0.792452830188679,17,0.666666666666667,0.8,5,"A_baseline_only",100,1
26,5,5,135,0.838709677419355,0.838709677419355,0.964285714285714,0.838709677419355,22,1,0.857142857142857,7,"B_with_time",100,1
21,8,3,88,0.724137931034483,0.875,0.916666666666667,0.792452830188679,24,0.75,0.6,5,"A_baseline_only",150,1
25,11,6,129,0.694444444444444,0.806451612903226,0.921428571428571,0.746268656716418,26,1,1,7,"B_with_time",150,1
22,5,2,91,0.814814814814815,0.916666666666667,0.947916666666667,0.862745098039216,18,1,1,5,"A_baseline_only",200,1
29,9,2,131,0.763157894736842,0.935483870967742,0.935714285714286,0.840579710144928,21,1,1,7,"B_with_time",200,1
