"network_label","n","precision","sensitivity","specificity","f1","shd","response_precision","response_recall"
"A: Baseline-only (16 nodes)",20,0.432401457758552,0.485762144053601,0.836369346733668,0.454658100076186,34.7638190954774,0.54677554438861,0.381909547738693
"A: Baseline-only (16 nodes)",30,0.564929735242371,0.570625,0.888072916666667,0.565680297052191,28.685,0.663730158730159,0.478
"A: Baseline-only (16 nodes)",40,0.627685666754201,0.628333333333333,0.9046875,0.625630172693272,26.265,0.717375,0.555
"A: Baseline-only (16 nodes)",50,0.687936283935032,0.685625,0.919947916666667,0.684410280879609,24.155,0.760404761904762,0.584
"A: Baseline-only (16 nodes)",60,0.717980871408164,0.732708333333333,0.92609375,0.723193929198014,22.81,0.805636904761905,0.659
"A: Baseline-only (16 nodes)",75,0.775016417501731,0.787916666666667,0.94171875,0.780042330098775,20.11,0.837821428571429,0.713
"A: Baseline-only (16 nodes)",100,0.800791021062479,0.83875,0.946197916666667,0.817723797002013,19.29,0.887904761904762,0.778
"A: Baseline-only (16 nodes)",150,0.840846776537903,0.899166666666667,0.956197916666667,0.867816412998065,16.395,0.916964285714286,0.883
"A: Baseline-only (16 nodes)",200,0.854767255434654,0.920208333333333,0.959947916666667,0.885345239745408,15.37,0.941797619047619,0.919
"A: Baseline-only (16 nodes)",300,0.857458277540192,0.935,0.96,0.893519804024246,14.725,0.948142857142857,0.954
"A: Baseline-only (16 nodes)",500,0.839373056606429,0.939791666666667,0.953489583333333,0.885517888668853,14.78,0.940410714285714,0.953
"B: Baseline + early-change (19 nodes)",20,0.402725693714738,0.502741935483871,0.832107142857143,0.445270023041588,47.675,0.677912101787102,0.572857142857143
"B: Baseline + early-change (19 nodes)",30,0.522228102917094,0.569677419354839,0.882821428571429,0.543123415759881,39.335,0.786806304806305,0.676428571428571
"B: Baseline + early-change (19 nodes)",40,0.587374266899282,0.63,0.900321428571429,0.606321877426177,36.16,0.835269841269841,0.742857142857143
"B: Baseline + early-change (19 nodes)",50,0.648244349312021,0.683709677419355,0.916214285714286,0.663697104732511,32.65,0.849769841269841,0.770714285714285
"B: Baseline + early-change (19 nodes)",60,0.672280175921526,0.718870967741936,0.921,0.693296520666759,31.49,0.869875,0.819285714285714
"B: Baseline + early-change (19 nodes)",75,0.700649512239002,0.761774193548387,0.92625,0.72841870917767,29.76,0.889023809523809,0.870714285714286
"B: Baseline + early-change (19 nodes)",100,0.728190192681615,0.816290322580645,0.931107142857143,0.768237558423644,28.31,0.906702380952381,0.912857142857143
"B: Baseline + early-change (19 nodes)",150,0.734906651123458,0.861451612903226,0.929892857142857,0.792044523491174,27.53,0.922408008658009,0.954285714285714
"B: Baseline + early-change (19 nodes)",200,0.734836731237637,0.886290322580645,0.927785714285714,0.802334765013815,27.185,0.915148088023088,0.956428571428571
"B: Baseline + early-change (19 nodes)",300,0.716254885536298,0.913064516129032,0.918392857142857,0.801709697868023,27.29,0.905386904761905,0.992142857142857
"B: Baseline + early-change (19 nodes)",500,0.688786474927955,0.938709677419355,0.904392857142857,0.79352178162442,28.805,0.890814754689755,0.998571428571429
